,match_id,season,team1,team2,toss_winner,toss_decision,match_winner,winner_wickets,winner_runs,player_of_match,venue,outcome,method,eliminator,team1_win_percentage_against_team2,avg_1st_innings,avg_2nd_innings
620,404,2014,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,4.0,0.0,JP Duminy,Dubai International Cricket Stadium,Normal,Not D/L,NA,61.9,164.0,149.0
621,403,2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7.0,0.0,PA Patel,Dubai International Cricket Stadium,Normal,Not D/L,NA,40.62,164.0,149.0
622,402,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,4.0,0.0,AM Rahane,Sheikh Zayed Stadium,Normal,Not D/L,NA,50.0,159.0,146.0
623,401,2014,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Punjab Kings,6.0,0.0,GJ Maxwell,Sheikh Zayed Stadium,Normal,Not D/L,NA,42.86,159.0,146.0
624,400,2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,8.0,0.0,YS Chahal,Sharjah Cricket Stadium,Normal,Not D/L,NA,28.57,159.0,148.0
625,399,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,41.0,JH Kallis,Sheikh Zayed Stadium,Normal,Not D/L,NA,28.12,159.0,146.0
626,398,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,23.0,KA Pollard,"Eden Gardens, Kolkata",Normal,Not D/L,NA,44.44,164.0,150.0
627,397,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,4.0,0.0,Harbhajan Singh,"Eden Gardens, Kolkata",Normal,Not D/L,NA,44.44,164.0,150.0
628,396,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,4.0,0.0,BJ Hodge,Feroz Shah Kotla,Normal,Not D/L,NA,50.0,162.0,148.0
629,395,2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,0.0,47.5,MEK Hussey,Feroz Shah Kotla,Normal,Not D/L,NA,44.44,162.0,148.0
630,394,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,5.0,0.0,PA Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,60.0,159.0,148.0
631,393,2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,0.0,24.0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,66.67,171.0,153.0
632,392,2013,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Pune Warriors,0.0,38.0,LJ Wright,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,33.33,149.0,134.0
633,391,2013,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,0.0,47.5,Azhar Mahmood,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Normal,Not D/L,NA,45.16,180.0,155.0
634,390,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,23.0,A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,50.0,159.0,148.0
635,389,2013,Punjab Kings,Royal Challengers Bangalore,Kings XI Punjab,field,Punjab Kings,6.0,0.0,DA Miller,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Normal,Not D/L,NA,54.84,168.0,157.0
636,388,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,0.0,14.0,AP Tare,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,44.44,169.0,159.0
637,387,2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,33.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,33.33,163.0,150.0
638,386,2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,Pune Warriors,0.0,7.0,MK Pandey,JSCA International Stadium Complex,Normal,Not D/L,NA,80.0,149.0,145.0
639,385,2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,7.0,0.0,KA Pollard,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,42.86,169.0,159.0
640,384,2013,Delhi Daredevils,Punjab Kings,Kings XI Punjab,field,Punjab Kings,5.0,0.0,Harmeet Singh,Feroz Shah Kotla,Normal,Not D/L,NA,40.91,162.0,148.0
641,383,2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,5.0,0.0,SR Watson,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,53.57,159.0,145.0
642,382,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,5.0,0.0,JH Kallis,JSCA International Stadium Complex,Normal,Not D/L,NA,56.25,149.0,145.0
643,381,2013,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,field,Sunrisers Hyderabad,0.0,30.0,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Normal,Not D/L,NA,66.67,168.0,157.0
644,380,2013,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,5.0,0.0,MG Johnson,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,16.67,149.0,134.0
645,379,2013,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore,0.0,4.0,JD Unadkat,Feroz Shah Kotla,Normal,Not D/L,NA,28.57,162.0,148.0
646,378,2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,46.0,G Gambhir,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,80.0,149.0,134.0
647,377,2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,8.0,0.0,KK Cooper,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Normal,Not D/L,NA,38.46,168.0,157.0
648,376,2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,0.0,47.5,SK Raina,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,26.32,159.0,148.0
649,375,2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,47.5,SR Tendulkar,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,28.12,169.0,159.0
650,374,2013,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,9.0,0.0,AM Rahane,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,38.89,159.0,145.0
651,373,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,7.0,0.0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,50.0,171.0,153.0
652,372,2013,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,5.0,0.0,AM Rahane,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,20.0,159.0,145.0
653,371,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,47.5,MG Johnson,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,44.44,169.0,159.0
654,370,2013,Punjab Kings,Royal Challengers Bangalore,Kings XI Punjab,field,Punjab Kings,7.0,0.0,AC Gilchrist,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,54.84,171.0,153.0
655,369,2013,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,Sunrisers Hyderabad,6.0,0.0,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,66.67,159.0,148.0
656,368,2013,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,8.0,0.0,YK Pathan,"Eden Gardens, Kolkata",Normal,Not D/L,NA,51.85,164.0,150.0
657,367,2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,17.0,AB de Villiers,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,0.0,149.0,134.0
658,366,2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,15.0,SK Raina,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,42.86,163.0,150.0
659,365,2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,7.0,0.0,DA Warner,Shaheed Veer Narayan Singh International Stadium,Normal,Not D/L,NA,61.9,146.0,144.0
660,364,2013,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,7.0,0.0,I Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,42.86,159.0,148.0
661,363,2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,37.0,MS Dhoni,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,33.33,149.0,134.0
662,362,2013,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,4.0,RG Sharma,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,45.16,169.0,159.0
663,361,2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,4.0,0.0,SV Samson,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,51.72,159.0,145.0
664,360,2013,Pune Warriors,Delhi Daredevils,Pune Warriors,field,Delhi Daredevils,0.0,15.0,DA Warner,Shaheed Veer Narayan Singh International Stadium,Normal,Not D/L,NA,33.33,146.0,144.0
665,359,2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,0.0,14.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,35.71,163.0,150.0
666,358,2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,47.5,DR Smith,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,40.62,169.0,159.0
667,357,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,8.0,0.0,JP Faulkner,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,50.0,159.0,145.0
668,356,2013,Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,bat,Kolkata Knight Riders,6.0,0.0,JH Kallis,"Eden Gardens, Kolkata",Normal,Not D/L,NA,65.62,164.0,150.0
669,355,2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,5.0,0.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,26.32,163.0,150.0
670,354,2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,5.0,0.0,DR Smith,"Eden Gardens, Kolkata",Normal,Not D/L,NA,28.12,164.0,150.0
671,353,2013,Delhi Daredevils,Punjab Kings,Delhi Daredevils,field,Punjab Kings,0.0,7.0,DA Miller,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Normal,Not D/L,NA,40.91,180.0,155.0
672,352,2013,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,field,Royal Challengers Bangalore,0.0,47.5,CH Gayle,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,0.0,171.0,153.0
673,351,2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,5.0,0.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,53.57,163.0,150.0
674,350,2013,Pune Warriors,Punjab Kings,Kings XI Punjab,field,Punjab Kings,7.0,0.0,DA Miller,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Normal,Not D/L,NA,50.0,168.0,157.0
675,349,2013,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,9.0,0.0,V Sehwag,Feroz Shah Kotla,Normal,Not D/L,NA,50.0,162.0,148.0
676,348,2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7.0,0.0,R Vinay Kumar,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,51.72,171.0,153.0
677,347,2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,4.0,0.0,RA Jadeja,"Eden Gardens, Kolkata",Normal,Not D/L,NA,35.71,164.0,150.0
678,346,2013,Sunrisers Hyderabad,Punjab Kings,Kings XI Punjab,bat,Sunrisers Hyderabad,5.0,0.0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,66.67,159.0,148.0
679,345,2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,47.5,MEK Hussey,Feroz Shah Kotla,Normal,Not D/L,NA,33.33,162.0,148.0
680,344,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,0.0,47.5,AM Rahane,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,44.44,159.0,145.0
681,343,2013,Pune Warriors,Sunrisers Hyderabad,Pune Warriors,field,Sunrisers Hyderabad,0.0,11.0,A Mishra,Maharashtra Cricket Association Stadium,Normal,Not D/L,NA,0.0,168.0,149.0
682,342,2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,NA,0.0,0.0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",tie,Not D/L,Royal Challengers Bangalore,28.57,171.0,153.0
683,341,2013,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,0.0,4.0,MS Gony,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Normal,Not D/L,NA,65.62,168.0,157.0
684,340,2013,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,0.0,24.0,SPD Smith,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,33.33,163.0,150.0
685,339,2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,6.0,0.0,JP Faulkner,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,38.46,159.0,145.0
686,338,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,47.5,G Gambhir,"Eden Gardens, Kolkata",Normal,Not D/L,NA,60.0,164.0,150.0
